,Image.ID,area_necrosis,area_total_cross_section,convex_hull_area_necrosis,convex_hull_area_total_cross_section,solidity_necrosis,solidity_total_cross_section,perimeter_necrosis,perimeter_total_cross_section,width_necrosis,width_total_cross_section,height_necrosis,height_total_cross_section,longest_path_necrosis,longest_path_total_cross_section,convex_hull_vertices_necrosis,convex_hull_vertices_total_cross_section,ellipse_major_axis_necrosis,ellipse_major_axis_total_cross_section,ellipse_minor_axis_necrosis,ellipse_minor_axis_total_cross_section,ellipse_angle_necrosis,ellipse_angle_total_cross_section,ellipse_eccentricity_necrosis,ellipse_eccentricity_total_cross_section,percent_necrosis,necrotic_area_fraction,necrotic_width_fraction
99,C2_NaCRRI_CET_GWAS_2019_118_6_Root4_image1_1_2020-10-14-10-00-31,NA,1984154,NA,2034280,NA,0.975359341,NA,5743.265608,NA,1574,NA,1746,NA,12675,NA,66,NA,1685.949341,NA,1508.69397,NA,150.0241394,NA,0.446340575,NA,NA,NA
100,C2_NaCRRI_CET_GWAS_2019_118_6_Root4_image2_1_2020-10-14-10-00-47,4610,1804736,42280.5,1836487,0.109033715,0.982711013,2059.07782,5663.827009,574,1530,374,1596,4369,11059,20,90,920.2815552,1576.326294,437.4653931,1457.539429,134.4555817,141.8964539,0.879791172,0.380834486,0.255439023,0.023427526,0.583814124
101,C2_NaCRRI_CET_GWAS_2019_118_6_Root4_image3_1_2020-10-14-10-01-01,NA,1340362,NA,1395859.5,NA,0.960241342,NA,5070.163015,NA,1306,NA,1525,NA,10926,NA,69,NA,1402.535767,NA,1245.215698,NA,178.4334717,NA,0.46016833,NA,NA,NA
102,C2_NaCRRI_CET_GWAS_2019_118_6_Root5_image1_1_2020-10-14-10-01-52,5306,1217963,10807.5,1237739.5,0.490955355,0.984022082,621.830515,4588.619735,104,1279,198,1260,1346,8762,14,80,196.152771,1312.633667,73.09999847,1180.68103,167.4120789,124.6819,0.92796446,0.436972439,0.435645418,0.008873422,0.149434512
103,C2_NaCRRI_CET_GWAS_2019_118_6_Root5_image2_1_2020-10-14-10-02-10,5877,2385397,34499.5,2433295,0.170350295,0.98031558,1496.486493,6527.84129,363,1715,555,1809,3423,13011,18,85,1907.506714,1778.133057,1460.396118,1713.109619,175.1100922,157.6600342,0.643311303,0.267954297,0.246374084,0.014462792,1.072758142
104,C2_NaCRRI_CET_GWAS_2019_118_6_Root5_image3_1_2020-10-14-10-02-26,7421,979519,93187.5,992294,0.079635144,0.987125791,1886.143347,3878.269449,540,1182,572,1078,3708,8177,29,79,5146.838379,1188.962036,2229.306641,1051.146851,132.0979309,104.9254074,0.901326183,0.467320803,0.757616749,0.09513598,4.328850058
105,C2_NaCRRI_CET_GWAS_2019_118_7_Root1_image1_1_2020-10-14-10-02-53,15237,2443663,609430.5,2477472.5,0.025002031,0.986353229,5229.145087,6271.557019,1130,1917,832,1703,8117,13547,24,79,1354.792969,1918.697266,972.4155273,1628.869263,44.11129379,107.3393784,0.6962911,0.528480528,0.62353115,0.249392203,0.706100432
106,C2_NaCRRI_CET_GWAS_2019_118_7_Root1_image2_1_2020-10-14-10-03-12,NA,1479713,NA,1489294.5,NA,0.993566417,NA,4774.45739,NA,1415,NA,1337,NA,10019,NA,101,NA,1435.65271,NA,1316.029663,NA,66.95159149,NA,0.399629174,NA,NA,NA
107,C2_NaCRRI_CET_GWAS_2019_118_7_Root1_image3_1_2020-10-14-10-03-29,NA,650646,NA,661727,NA,0.983254424,NA,3293.377971,NA,944,NA,905,NA,6599,NA,55,NA,942.855835,NA,877.6538086,NA,53.01461792,NA,0.365411108,NA,NA,NA
108,C2_NaCRRI_CET_GWAS_2019_118_7_Root2_image1_1_2020-10-14-10-03-50,16629,2640470,864632,2692893,0.01923246,0.980532832,7047.864317,6914.951023,1687,1824,802,1965,10244,13826,33,91,22862.67383,1970.642578,4749.897949,1713.828979,159.4409332,145.7432861,0.978180307,0.493615457,0.629774245,0.327453825,11.60163395
