"","Image.ID","area_necrosis","area_total_cross_section","convex_hull_area_necrosis","convex_hull_area_total_cross_section","solidity_necrosis","solidity_total_cross_section","perimeter_necrosis","perimeter_total_cross_section","width_necrosis","width_total_cross_section","height_necrosis","height_total_cross_section","longest_path_necrosis","longest_path_total_cross_section","convex_hull_vertices_necrosis","convex_hull_vertices_total_cross_section","ellipse_major_axis_necrosis","ellipse_major_axis_total_cross_section","ellipse_minor_axis_necrosis","ellipse_minor_axis_total_cross_section","ellipse_angle_necrosis","ellipse_angle_total_cross_section","ellipse_eccentricity_necrosis","ellipse_eccentricity_total_cross_section","percent_necrosis","necrotic_area_fraction","necrotic_width_fraction"
"388","2020_C2_CET_GWAS_Serere_217_1_Root1_image3_1_2021-11-15-09-20-45",NA,218330,NA,242241.5,NA,0.90129065416124,NA,2499.54327988625,NA,400,NA,647,NA,4941,NA,25,NA,728.403137207031,NA,423.631927490234,NA,2.6784131526947,NA,0.813482118217573,NA,NA,NA
"389","2020_C2_CET_GWAS_Serere_217_1_Root2_image1_1_2021-11-15-09-21-00",NA,264020,NA,284348.5,NA,0.928508502770368,NA,2791.60929524899,NA,481,NA,688,NA,5378,NA,22,NA,721.491821289062,NA,506.723907470703,NA,169.956253051758,NA,0.711853482943225,NA,NA,NA
"390","2020_C2_CET_GWAS_Serere_217_1_Root2_image2_1_2021-11-15-09-21-10",NA,253262,NA,295211,NA,0.857901636456636,NA,2969.4743001461,NA,528,NA,769,NA,5269,NA,28,NA,731.651000976562,NA,559.182067871094,NA,160.739501953125,NA,0.64489128606682,NA,NA,NA
"391","2020_C2_CET_GWAS_Serere_217_1_Root2_image3_1_2021-11-15-09-21-21",1788,273608,2045,301023.5,0.874327628361858,0.908925715101977,251.882249832153,2641.4255297184,34,564,105,639,691,5062,14,24,98.1550369262695,672.189270019531,24.0868358612061,570.953979492188,12.1165370941162,166.314743041992,0.969422968104606,0.527758186966549,0.653489664044911,0.00747419666091635,0.146022915425915
"392","2020_C2_CET_GWAS_Serere_217_4_Root1_image1_1_2021-11-15-09-21-45",NA,171760,NA,188943.5,NA,0.909054823267273,NA,1900.22243130207,NA,431,NA,513,NA,4241,NA,25,NA,567.693542480469,NA,436.682708740234,NA,159.496871948242,NA,0.638980888145999,NA,NA,NA
"393","2020_C2_CET_GWAS_Serere_217_4_Root1_image2_1_2021-11-15-09-21-59",NA,170613,NA,215973,NA,0.78997374671834,NA,2906.92300355434,NA,417,NA,693,NA,4477,NA,20,NA,620.100219726562,NA,457.042114257812,NA,0.0509456731379032,NA,0.675843059569995,NA,NA,NA
"394","2020_C2_CET_GWAS_Serere_217_4_Root1_image3_1_2021-11-15-09-22-09",NA,176695,NA,217163.5,NA,0.813649623440403,NA,2706.51384234428,NA,410,NA,700,NA,4750,NA,21,NA,649.016845703125,NA,441.687469482422,NA,174.174835205078,NA,0.732702995103501,NA,NA,NA
"395","2020_C2_CET_GWAS_Serere_217_4_Root2_image1_1_2021-11-15-09-22-21",NA,212304,NA,234802,NA,0.904183098951457,NA,2210.91586327553,NA,494,NA,588,NA,5014,NA,23,NA,656.050354003906,NA,464.380981445312,NA,142.260940551758,NA,0.706369289890896,NA,NA,NA
"396","2020_C2_CET_GWAS_Serere_217_4_Root2_image2_1_2021-11-15-09-22-31",NA,205160,NA,247702,NA,0.828253304373804,NA,2376.51384234428,NA,524,NA,632,NA,5344,NA,21,NA,722.098754882812,NA,453.456634521484,NA,143.351104736328,NA,0.778237234467142,NA,NA,NA
"397","2020_C2_CET_GWAS_Serere_217_4_Root3_image1_1_2021-11-15-09-22-50",NA,154963,NA,175658.5,NA,0.882183327308385,NA,2300.56557714939,NA,311,NA,648,NA,4534,NA,19,NA,658.463195800781,NA,324.156982421875,NA,179.171051025391,NA,0.870429412618174,NA,NA,NA
